"STORE_SN","AREA_SD_CODE","AREA_DETAIL_CODE","PREF_SN","STORE_NM","STORE_ADDR","STORE_SCORE","LATITUDE","LONGITUDE"
"S190210_1558789114560","01","011309","10000000","이치젠","서울특별시 마포구 망원동 415-31 101호","0","37.556674752093","126.90453091017"
"S190210_1558789114939","01","011318","01000000","커피리브레 연남점","서울특별시 마포구 연남동 227-15","0","37.562267594184","126.92681500022"
"S190210_1558789116841","01","011312","10000000","마녀주방 홍대점","서울특별시 마포구 서교동 358-51","0","37.552853947878","126.92210615951"
"S190210_1558789119148","01","011312","10000000","키친485","서울특별시 마포구 서교동 399-24","0","37.548689149314","126.91794498514"
"S190210_1558789119529","01","011318","01000000","옥타","서울특별시 마포구 연남동 257-16 샹글리라","0","37.562001928205","126.9233665818"
"S190211_1558789120675","01","010102","10000000","광명수산 영동점","서울특별시 강남구 논현동 144-8","0","37.508989667946","127.02343745456"
"S190211_1558789121437","01","010108","01000000","듀자미","서울특별시 강남구 신사동 535-9","0","37.519317297746","127.02254493993"
"S190211_1558789121820","01","010108","01000000","벤스쿠키 가로수길점","서울특별시 강남구 신사동 518-10","0","37.51961236398","127.02226959166"
"S190211_1558789122201","01","011504","10000000","아빠곰수제돈까스","서울특별시 서초구 서초동 1310-5","0","37.499843044242","127.0233190902"
"S190211_1558789122582","01","011504","01000000","장꼬방 ","서울특별시 서초구 서초동 1316","0","37.498359744058","127.02373423387"
"S190211_1558789122966","01","010110","10000000","우동명가기리야마본진","서울특별시 강남구 역삼동 824-11","0","37.497126235055","127.03041133826"
"S190211_1558789123729","01","010110","10000000","훌리오 강남역본점 ","서울특별시 강남구 역삼동 619-1","0","37.502381748442","127.0274141226"
"S190211_1558789124109","01","010110","10000000","아이해브어드림","서울특별시 강남구 역삼동 819-5 ","0","37.49928834124","127.02926375109"
"S190211_1558789126021","01","012452","01000000","바켄","서울 중구 저동1가 48 DISTRICT.M 지상 2층","0","37.565085180044","126.98715081614"
"S190211_1558789126403","01","010108","01000000","우유니아이스크림","서울특별시 강남구 신사동 529-6","0","37.523010736378","127.0213541447"
"S190211_1558789127929","01","010108","01000000","스티머스커피팩토리","서울특별시 강남구 신사동 526","0","37.521953536089","127.01990860039"
"S190211_1558789128693","01","010110","00100000","에나타 강남1호점","서울특별시 강남구 역삼동 813","0","37.502760214675","127.02632346028"
"S190211_1558789129888","01","010110","01000000","꽃을피우고","서울특별시 강남구 역삼동 619-23","0","37.501543210189","127.02734583151"
"S190211_1558789131790","01","010105","10000000","외고집설렁탕","서울특별시 강남구 삼성동 120-8","0","37.510995324189","127.05398544062"
"S190211_1558789133698","01","011504","10000000","쿠차라 삼성서초사옥점","서울특별시 서초구 서초동 1320-10","0","37.496647027753","127.02692305139"
"S190211_1558789134078","01","010110","10000000","운봉에덴식당","서울특별시 강남구 역삼동 825-19","0","37.497512996758","127.0292301874"
"S190211_1558789134458","01","010110","01000000","폴인팬케이크 강남점","서울특별시 강남구 역삼동 617-1","0","37.503139293889","127.02749477557"
"S190211_1558789134841","01","010110","10000000","신룽푸마라탕","서울특별시 강남구 역삼동 814-6","0","37.501715388972","127.02637095787"
"S190211_1558789135220","01","010110","10000000","인도야시장","서울특별시 강남구 역삼동 817-17","0","37.500098166833","127.02803183836"
"S190217_1558789136362","01","011318","10000000","독립카츠","서울특별시 마포구 연남동 566-56","5","37.561389642278","126.92242462305"
"S190217_1558789136372","01","011325","01000000","당고집","서울특별시 마포구 합정동 356-9","0","37.547241998245","126.9193125739"
